Method,Metric,Mean,Std,CI95_L,CI95_U,N
ShallowTreeRanker,HitRate@10,0.2,0.447213595499958,-0.3552890210395598,0.7552890210395597,5
ShallowTreeRanker,TopKOverlap@10,0.02,0.044721359549995794,-0.03552890210395597,0.07552890210395598,5
ShallowTreeRanker,Regret@10,0.4725999937206507,0.09640547774127624,0.3528967827796734,0.592303204661628,5
ShallowTreeRanker,NDCG@25,0.5373702587810087,0.0504727815940289,0.4747000229865014,0.6000404945755161,5
ShallowTreeRanker,MAP@25,0.002,0.00447213595499958,-0.003552890210395597,0.007552890210395597,5
ShallowTreeRanker,Recall@25,0.008,0.01788854381999832,-0.014211560841582389,0.03021156084158239,5
ShallowTreeRanker,HitRate@25,0.2,0.447213595499958,-0.3552890210395598,0.7552890210395597,5
ShallowTreeRanker,TopKOverlap@25,0.008,0.01788854381999832,-0.014211560841582389,0.03021156084158239,5
ShallowTreeRanker,Regret@25,0.43435555109381674,0.014871432648498481,0.4158902285724641,0.4528208736151694,5
ShallowTreeRanker,NDCG@50,0.5472142385243948,0.03344612837546185,0.5056853850412824,0.5887430920075072,5
ShallowTreeRanker,MAP@50,0.0017904761904761902,0.00255101853741428,-0.0013770316861815492,0.00495798406713393,5
ShallowTreeRanker,Recall@50,0.024,0.00894427190999916,0.012894219579208806,0.0351057804207912,5
ShallowTreeRanker,HitRate@50,1.0,0.0,1.0,1.0,5
ShallowTreeRanker,TopKOverlap@50,0.024,0.00894427190999916,0.012894219579208806,0.0351057804207912,5
ShallowTreeRanker,Regret@50,0.4062222208529711,0.009394087702646279,0.3945579203566265,0.4178865213493157,5
ShallowTreeRanker,NDCG@100,0.5754676381518354,0.01611428926550409,0.5554591053142176,0.5954761709894533,5
ShallowTreeRanker,MAP@100,0.016549207311653075,0.006969111896357792,0.007895911970492026,0.025202502652814124,5
ShallowTreeRanker,Recall@100,0.098,0.008366600265340758,0.0876114936631643,0.10838850633683571,5
ShallowTreeRanker,HitRate@100,1.0,0.0,1.0,1.0,5
ShallowTreeRanker,TopKOverlap@100,0.098,0.008366600265340758,0.0876114936631643,0.10838850633683571,5
ShallowTreeRanker,Regret@100,0.3564866651371122,0.007726567213928558,0.3468928647978755,0.36608046547634887,5
ShallowTreeRanker,NDCG_full,0.9192003699675191,0.004416485471491574,0.913716578958978,0.9246841609760602,5
ShallowTreeRanker,NDCG@10pct,0.5745655506060997,0.01598302069734729,0.5547200092236579,0.5944110919885415,5
ShallowTreeRanker,P@10pct,0.09342934293429342,0.005147066950673558,0.08703841520529762,0.09982027066328922,5
ShallowTreeRanker,Spearman,-0.0029296231247761205,0.013528066813350505,-0.019726936652208593,0.013867690402656353,5
ShallowTreeRanker,KendallTau,-0.0019443646999963108,0.010098358613330333,-0.014483133031119495,0.010594403631126872,5
